Epic,Name,Price(p),Change,% Change,30day %,Market Cap(m),,,,,,
3IN,3i Infrastructure,258.88,0.53,0.21,0.73,2103.48
888,888 Holdings,164.45,1.85,1.14,-0.87,607.26
ACA,Acacia Mining,206.10,3.80,1.88,8.53,784.70
AGK,Aggreko,724.60,11.60,1.63,-1.79,1856.16
AGR,Assura Group,53.25,0.45,0.85,-1.93,1265.17
AMGO,Amigo Holdings,275.80,0.80,0.29,3.45,0.00
AML,Aston Martin Lagonda,1192.20,17.20,1.46,-12.12,0.00
APAX,Apax Global Alpha,141.25,1.25,0.89,4.63,658.08
ASCL,Ascential,379.30,-1.30,-0.34,2.85,1501.47
ASHM,Ashmore Group,363.60,4.20,1.17,-4.01,2575.13
ASL,Aberforth Smaller Companies Trust,1147.00,1.00,0.09,-3.45,1039.86
ATST,Alliance Trust,688.00,0.00,0.00,-5.88,2295.35
AVST,Avast,279.05,2.45,0.89,2.88,0.00
AVV,AVEVA Group,2282.00,-2.00,-0.09,-6.48,3893.07
BAB,Babcock International Group,489.80,12.20,2.55,-11.52,2419.28
BAG,Barr (A G),797.50,0.50,0.06,2.37,907.57
BAKK,Bakkavor Group,143.80,0.20,0.14,-0.28,833.21
BBA,BBA Aviation,218.00,3.00,1.40,-5.38,2250.20
BBGI,BBGI Sicav S.A.,154.75,-0.75,-0.48,-0.48,900.46
BBOX,Tritax Big Box Reit,133.20,0.90,0.68,-0.60,1942.89
BBY,Balfour Beatty,247.60,4.00,1.64,4.21,1709.18
BCA,BCA Marketplace,204.75,-2.25,-1.09,-2.50,1684.37
BEZ,Beazley,499.60,3.00,0.60,-7.91,2661.24
BGEO,BGEO Group,1377.80,33.60,2.50,2.29,674.56
BGFD,Baillie Gifford Japan Trust (the),679.00,-2.00,-0.29,-14.70,623.15
BGSC,BMO GLOBAL SMALLER COMPANIES PLC ORD 25P,1232.50,12.50,1.02,-7.68,744.73
BME,B&M; European Value Retail,287.45,3.75,1.32,-15.33,2868.11
BNKR,Bankers' Investment Trust (the),784.50,6.50,0.84,-5.37,959.40
BOY,Bodycote,708.50,14.50,2.09,-3.21,1372.74
BRSC,BlackRock Smaller Companies Trust,1212.50,7.50,0.62,0.21,580.54
BRW,Brewin Dolphin Holdings,331.70,4.50,1.38,2.63,933.37
BTEM,British Empire Trust,672.50,2.50,0.37,-6.34,743.02
BTG,BTG,827.75,1.25,0.15,0.15,3208.92
BVIC,Britvic,818.50,0.50,0.06,-2.85,2142.29
BVS,Bovis Homes Group,866.60,23.00,2.73,-1.52,1159.25
BWY,Bellway,2606.00,50.00,1.96,-1.47,3142.52
BYG,Big Yellow Group,874.00,4.50,0.52,-1.47,1444.15
CAPC,Capital & Counties Properties,233.35,3.45,1.50,-8.53,1953.45
CARD,Card Factory,184.80,1.90,1.04,-0.05,623.67
CBG,Close Brothers Group,1463.00,17.00,1.18,-2.14,2193.13
CCC,Computacenter,971.00,6.00,0.62,-2.51,1142.55
CCFS,Charter Court Financial Services Group,261.50,1.90,0.73,9.87,604.76
CEY,Centamin,124.50,2.35,1.92,24.50,1317.31
CINE,Cineworld Group,265.40,7.80,3.03,-5.95,3529.37
CKN,Clarkson,2092.50,-32.50,-1.53,-2.67,600.67
CLDN,Caledonia Investments,2822.50,37.50,1.35,0.62,1558.77
CLI,CLS Holdings,210.00,1.00,0.48,-4.11,877.94
CNE,Cairn Energy,156.10,3.10,2.03,-8.34,896.04
COA,Coats Group,82.40,0.10,0.12,3.26,1172.69
COB,Cobham,97.39,0.55,0.57,-3.95,2402.49
CPI,Capita Group (The),112.70,4.25,3.92,2.88,1909.50
CRST,Crest Nicholson Holdings,334.40,5.20,1.58,-0.77,849.64
CSH,W Resources (formerly Caspian Holdings ),103.75,-0.25,-0.24,4.17,645.80
CSP,Countryside Properties,297.70,1.90,0.64,1.26,1350.00
CTEC,ConvaTec Group,137.43,2.43,1.80,-10.06,2679.87
CTY,City Of London Investment Trust (the),383.50,3.50,0.92,-3.28,1381.72
CWK,Cranswick,2669.00,51.00,1.95,-5.42,1346.29
CYBG,CYBG,183.80,5.90,3.32,-6.27,2615.09
DC.,Dixons Carphone,119.23,-0.42,-0.35,-25.99,1397.47
DCG,Dairy Crest Group,432.70,6.30,1.48,-3.84,666.89
DJAN,Daejan Holdings,5725.00,65.00,1.15,-3.46,936.17
DLN,Derwent London,2871.00,28.00,0.98,0.81,3156.58
DNLM,Dunelm Group,561.00,3.00,0.54,-10.24,1083.90
DOM,Domino's Pizza Group,243.15,7.25,3.07,-7.05,1103.57
DPH,Dechra Pharmaceuticals,2080.00,10.00,0.48,-3.61,2142.35
DPLM,Diploma,1159.00,4.00,0.35,-5.93,1340.76
DRX,Drax Group,362.10,-2.10,-0.58,-1.98,1430.84
ECM,Electrocomponents,488.60,8.60,1.79,-2.82,2254.34
EDIN,Edinburgh Investment Trust (the),615.50,7.50,1.23,-1.05,1185.60
EFM,Edinburgh Dragon Trust,358.50,5.50,1.56,-2.58,665.53
EIG,EI Group,191.40,3.40,1.81,5.16,869.28
ELM,Elementis,182.20,1.10,0.61,-3.29,1062.70
EMG,Man Group,135.83,1.38,1.03,-4.01,2119.62
ENOG,Energean Oil Gas,634.80,-19.70,-3.01,9.64,1007.98
EQN,Equiniti Group,207.00,1.50,0.73,-4.61,775.55
ERM,Euromoney Institutional Investor,1198.00,12.00,1.01,-6.41,1306.93
ESNT,Essentra,344.90,6.30,1.86,-6.98,887.11
ETO,Entertainment One Group,355.80,3.80,1.08,-1.55,1665.48
FCH,Funding Circle Holdings Ord 0.1p Wi,319.50,-3.95,-1.22,-16.87,0.00
FCIT,F&C; INVESTMENT TRUST PLC ORD 25P,638.50,2.50,0.39,-6.52,3454.33
FCPT,F&C; Commercial Property Tst Ld,125.20,0.80,0.64,-5.30,993.61
